,Job Name,Company Name,City Name,Payment,Payment Rate,Begin Date,End Date,Job Order,Telephone,Email,Web,Full Time,Workers Needed,Job Duties,Experience Required,Experience Months,Special Requirements,Hours Per Week,Schedule
527,Laborer,The Christmas Lights Professionals,"Murray, UT",$18.42,rate,10/24/2022,3/31/2023,View Job Order,+18013550111,kirawillard@thelightpros.com,,Yes,3,"Will perform labor on exterios of residential and commercial buildings by helping with the installation and maintenance of electrical lights and electonic equipment.  Will perform duties such as furnishing tools, materials and supplies to other workers; cleaning up area when job is completed and holding materials or tools for other workers.  Must be able to lift 50 lbs. and have no fear of heights on ladders.  All work is conducted outside.  May operate hand and power tools of all types if needed.  Keeping equipment and work area clean.  There may be lifting (up to 50 lbs.), pushing, pulling, and climbing ladders.",No,,"Must be able to lift 50 lbs., have no fear of heights on ladders and will be working outside.",72,7:00 A.M. - 7:00 P.M.
528,Server Captain ,"The Polo Club of Boca Raton Property Owners Association, Inc.","Boca Raton, FL",$21.28-$26.50,hour,10/25/2022,5/20/2023,View Job Order,+15619121030,malg@poloclub.net,,Yes,3,"Server Captains will be responsible for supervising the front-of-house food and beverage staff, which includes assisting with conducting shift meetings, reviewing daily food and drink specials, assisting the staff in maintaining dining service standards, handling member issues and complaints, conducting performance coaching and discipline as needed, processing end-of-day reports and closing procedures, and ensuring that all opening and closing work is completed throughout the shift. May supervise up to ten (10) Servers. Please see job description. ",Yes,6,"The Petitioner will consider for employment any person who possesses at least six (6) months of experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club.  Applicant must complete pre-employment background check and drug screening.  

",40,3:00 P.M. - 11:00 P.M.
529,Host/hostess,"The Polo Club of Boca Raton Property Owners Association, Inc.","Boca Raton, FL",$13.00-$16.00,hour,10/25/2022,5/20/2023,View Job Order,+15619121030,malg@poloclub.net,,Yes,4,"Hosts/Hostesses will be responsible for providing guests with menus, assigning patrons to tables suitable for their needs and according to rotation so that servers receive an appropriate number of seatings, greeting guests and seating them at tables or in waiting areas, answering telephone calls and respond to inquiries or transfer calls, and operating cash registers to accept payments for food and beverages. Please see job description. ",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club.  Applicant must complete pre-employment background check and drug screening.  

",40,3:00 P.M. - 11:00 P.M.
530,Recreation Aide,"The Polo Club of Boca Raton Property Owners Association, Inc.","Boca Raton, FL",$14.00-$18.00,hour,10/25/2022,5/20/2023,View Job Order,+15619121030,malg@poloclub.net,,Yes,8,"Recreation Aides will be responsible for monitoring and scheduling activities at the tennis complex, aquatic complex, and spa and fitness facility, maintaining and providing equipment for recreational pursuits to members, providing facility information, performing minor cleaning of sporting equipment, and providing administrative assistance to members, including checking membership cards. Please see job description. ",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of service experience at a high-end resort, or private club.  Applicant must complete pre-employment background check and drug screening.  

",40,9:00 A.M. - 5:00 P.M.
531,Server,"The Polo Club of Boca Raton Property Owners Association, Inc.","Boca Raton, FL",$15.00-$18.50,hour,10/25/2022,5/20/2023,View Job Order,+15619121030,malg@poloclub.net,,Yes,53,"Servers will be responsible for greeting customers, setting up the dining areas, taking and placing orders, carrying trays and plates, serving food and beverages, and cleaning and clearing tables. Please see job description. ",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club.  Applicant must complete pre-employment background check and drug screening.

",40,12:00 P.M. - 8:00 P.M.
532,Seasonal Golf & Cart Attendant ,"The Polo Club of Boca Raton Property Owners Association, Inc.","Boca Raton, FL",$14.00-$16.00,hour,10/25/2022,5/20/2023,View Job Order,+15619121030,malg@poloclub.net,,Yes,5,"Seasonal Golf & Cart Attendants will be responsible for providing assistance to members including greeting members and assisting with check-in, answering inquiries, carrying equipment, and readying golf carts and other equipment for member use. Please see job description. ",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of golf-related guest-service experience at a high-end hotel, resort, private club, or tourism environment.  Applicant must complete pre-employment background check and drug screening.  

",40,9:00 A.M. - 5:00 P.M.
533,Line Cook,"The Polo Club of Boca Raton Property Owners Association, Inc.","Boca Raton, FL",$16.00-$24.00,hour,10/25/2022,5/20/2023,View Job Order,+15619121030,malg@poloclub.net,,Yes,26,"Line Cooks will be responsible for preparing, seasoning, and cooking soups, meats, vegetables, desserts, and other food items in a restaurant. Please see job description. ",Yes,6,"The Petitioner will consider for employment any person who possesses at least six (6) months of culinary experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club.  Applicant must complete pre-employment background check and drug screening. 

",40,12:00 P.M. - 8:00 P.M.
534,Bartender,"The Polo Club of Boca Raton Property Owners Association, Inc.","Boca Raton, FL",$15.00-$20.00,hour,10/25/2022,5/20/2023,View Job Order,+15619121030,malg@poloclub.net,,Yes,4,"Bartenders will be responsible for mixing and serving drinks to members and guests, taking and placing guest orders, serving food and beverages, cleaning glasses and bar equipment, and ensuring that the bar and work areas are clean and well-stocked. Please see job description for additional information. ",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club. Applicant must complete pre-employment background check and drug screening. 

",40,3:00 P.M. - 11:00 P.M.
535,Horse Show Groom,"Isola Stables, Inc.","Portola Valley, CA",$19.10,hour,10/28/2022,8/27/2023,View Job Order,+16508678201,isolastables@gmail.com,,Yes,3,"Horse Show Groom is to care for and maintain show horses for competition. Inspect horses, exercise, groom, bathe, feed, water, bandage legs, tack up, administer supplements and medicine, maintain stalls and equipment. Accompany horses to horse shows in California. Tues-Sun, 8am-4pm.",Yes,3,"Travel and transportation is a business necessity and requirement.

Reference checks will be conducted and are a hiring requirement.
",42,8:00 A.M. - 4:00 P.M.
536,Cook,Zota Beach Resort,"Longboat Key, FL",$17.00-$19.00,hour,11/1/2022,8/1/2023,View Job Order,,Annette.rocco@ophotels.com,http://www.op-careers.com,Yes,5,"Cook: 5 openings, min 35hrs/wk. shifts vary 7a-2p & 3p-10p. Starting wage $17-19/hr. OT if available over 40hrs/wk at $25.50-$28.50/hr. Cook food overheat & prepare dishes in a restaurant.  Will cook on the line, prepare sauces & soups. 
Monday through Sunday, Scheduled shift and workdays vary. Rotate/split shifts. Weekends & holidays req’d. Min. 1 month hotel/resort experience req’d. No daily transportation to/from work provided. No on the job training provided. Supplies, work tools & equipment are provided free. Deductions required by law will be payroll deducted. Employee housing is not provided however optional 3rd party housing may be available at $150/wk-$200/wk depending on location and may be voluntarily payroll deducted biweekly plus all deductions required by law. Housing deposits and/or a $150-$200 nonrefundable admin/cleaning fee may be required if you choose the optional housing option. Visa & related fees will be reimbursed in the first work week. Guaranteed work for total hrs equal to at least ¾ of the workdays in each 12-week period. If the worker completes 50% of the work contract period, employer will arrange and pay or reimburse directly for transportation and daily subsistence (min $14/day and max $59/day with receipts), if the worker completes the employment period or is dismissed early employer will arrange and pay directly for return transportation and daily subsistence (min $14/day and max $59/day with receipts), upon departure. Pay bi-weekly. Employer will use a single workweek as its standard for computing wages due.
",Yes,1,"Monday through Sunday, Scheduled shift and workdays vary. Rotate/split shifts. Weekends & holidays reqd. ",35,7:00 A.M. - 2:00 P.M.
537,Snow Removal Laborer,KNL Equipment Lease Co.,"Ogden, UT",$16.38-$18.00,hour,11/1/2022,3/15/2023,View Job Order,+18016031213,tiffany@simplifiedlandscape.com,,Yes,18,"Sidewalk shoveling, shovel accumulated deposits of snow on an ongoing basis in extreme weather conditions on various properties, operate snowblower. Lifting required up to 50 lbs.",No,,,40,6:00 A.M. - 2:00 P.M.
538,Construction Laborers,Brummett Concrete,"Wolfe City, TX",$17.83-$19.83,hour,11/1/2022,7/31/2023,View Job Order,+19034612200,,https://www.workintexas.com/vosnet/Default.aspx,Yes,14,"Perform tasks involving physical labor.  Tasks will include loading, unloading and moving tools and supplies.  Clean and prepare sites; dig, fill and remove excavated dirt, level ground, stack materials, collect trash and reusable materials; may assist other craft workers.  Hours will be between 8am and 5pm. Must be able to lift 50 lbs often, work in extreme weather.  Transportation provided to worksites from central location in Wolfe City, TX. Possibility of performance based raise, Saturdays and OT, one hour non paid lunch. May assist with finding and/or securing housing.",No,,"Employer paid post hire drug test required. 
Employer paid post hire background check. 
",40,8:00 A.M. - 5:00 P.M.
539,Ski/boot Rental Technician,Vista Bahn Ski Rentals,"Vail, CO",$18.84,hour,11/1/2022,5/5/2023,View Job Order,+19704762566,vistabahn@gmail.com,,Yes,4,"Greet customers, fit customers with ski boots/skis, set up ski rentals, ensuring safety, use computers to check customers in/out and process payments.",No,,"Must be DIN certified to work on bindings.  Multiple shifts: 8am-1pm, or 1pm-6pm, or split shifts 8am-11am and 3pm-6pm
",35,8:00 A.M. - 1:00 P.M.
540,Food Preparation Worker,Blue Moose Pizza/Mountain Fish House,"Avon, CO",$17.21,hour,11/1/2022,4/15/2023,View Job Order,+19709491284,wil@bluemoosepizza.com,,Yes,20,"Perform a variety of temporary and full-time food preparation duties other than cooking such as preparing cold foods and shellfish, slicing meat and brewing coffee or tea. Duties may also include organization of food storage, inventory of food items, cleaning kitchen equipment and assisting cooks with various tasks as needed.",Yes,3,Work shifts include 9am-4pm OR 4pm-11pm.  Will require alternate days and shifts.  ,35,9:00 A.M. - 4:00 P.M.
541,"Cook, Short Order",Salvo's Seafood,"Belle Chasse, LA",$12.01,hour,11/1/2022,6/10/2023,View Job Order,+15043937303,salvosseafood@yahoo.com,,Yes,10,"Clean food preparation equipment, work areas, and counters or tables. Clean, portion and prepare raw/and or live food to be cooked such as crawfish and shrimp. Perform food preparation tasks, such as making sandwiches, carving meats, making soups or salads, baking breads or desserts, and brewing coffee or tea. Perform general cleaning activities in kitchen and dining areas. Restock kitchen supplies, rotate food, and stamp the time and date on food in coolers. Grill, cook, fry and boil foods such as french fries, burgers, and shrimp.
Plan work on orders so that items served together are finished at the same time.
Cook food to customer requirements. Grill and garnish hamburgers or other meats, such as steaks and chops. Complete orders from steam tables, placing food on plates and serving customers at tables or counters. Order supplies and stock them on shelves. Accept payments, and make change or write charge slips as necessary. Remove trash and clean kitchen garbage containers. Scrape leftovers from dishes into garbage containers. Load dishes, glasses, and tableware into dishwashing machines. sweep and mop kitchen floor.",Yes,6,No overtime promised.,40,8:00 A.M. - 11:00 P.M.
542,Helpers-maintenance,RDM Independent Rides d/b/a Moore's Greater Shows,"Lyford, TX",$15.48,hour,11/1/2022,1/25/2023,View Job Order,+19567435422,txjanie@hotmail.com,,Yes,15,"Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.",No,,"Post-employment random drug testing & background checks may be required, at no cost to the worker. The job requires the applicant to be qualified, ready, willing, able, & available to perform during the entire employment at the designated worksite; to enter into & comply with employment contract; to follow workplace rules.
",35,9:00 A.M. - 4:00 P.M.
543,Server,N/A,"Naples, FL",$16.84,hour,11/1/2022,5/31/2023,View Job Order,+12392543002,ShirleneI@clubmediterra.com,,Yes,1,"Servers will be responsible for greeting members and guests, setting up the indoor and outdoor dining areas, taking and placing orders, carrying trays and plates, serving food, mixing and serving both alcoholic and non-alcoholic beverages, stocking the bar as necessary, and cleaning and clearing tables and dining areas. Please see attached job description for additional information.",Yes,3,"The Petitioner will consider for employment any person who possesses at least three (3) months of service experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club. Applicant must complete pre-employment background check and drug screening.

",35,10:30 A.M. - 5:30 P.M.
544,Thoroughbred Racehorse Groom,Pecoraro Stable Inc,"Hallandale, FL",$14.62,hour,11/1/2022,4/30/2023,View Job Order,+19542329903,pecoraro0423@gmail.com,,Yes,6,"ATTENDS TO THE OVERALL CARE OF THOROUGHBRED RACEHORSES INCLUDING
FEED, WATER, MAINTENANCE OF STALLS & TACK, CLEAN, BRUSH, TRIM OF HORSES,
DISINFECT STALLS & BEDDING. LIFT LEGS AND CLEAN HORSES FEET AND APPLY
LINIMENTS AND BANDAGES TO LEGS AS REQUIRED. WILL CARE FOR 1-5 HORSES AT
A TIME INCLUDING HOT WALKING AND TACKING UP. DAYS OFF ROTATES. SPLIT
SHIFTS 5-11 AM AND 3-5 PM. WORKERS WILL WORK 40HRS A WEEK UNLESS THEY
DECIDE TO WORK OVERTIME.",Yes,1,"Must be able to lift 50 Lbs
",56,5:00 A.M. - 5:00 P.M.
545,Laborer,"J & M Allen Properties I, LLC","Cleves, OH",$15.88,hour,11/1/2022,3/15/2023,View Job Order,+15133854775,mike@allenoutdoorservices.com,,Yes,14,Shovel accumulated deposits of snow on an ongoing basis in extreme weather conditions on various commercial properties. Lifting required up to 50 lbs.,No,,weekends may be available.,40,8:00 A.M. - 5:00 P.M.
546,Ski Instructor Level 3 Trainer,Palisades Tahoe,"Olympic Valley, CA",$28.00,hour,11/5/2022,5/1/2023,View Job Order,+15304527284,Tking@palisadestahoe.com,,Yes,5,"Train other ski/snowboard instructors and teach ski/snowboard techniques using Professional Ski Instructor Methodology, covering safety and adult and children specific instruction for all levels of instructors. Assist in all operational aspects of the ski school including but not limited to set up of outdoor teaching areas, fitting of ski equipment and general cleanliness of area. Must understand and abide by company procedures set forth by our Human Resource department.",Yes,3,"Professional Ski Instructors of America (PSIA) Level 3 certification or equivalent.
3 months experience in same or similar job.
35 hours per week.  Shifts available 7 days a week including weekends and holidays. 8:00am -4:00 pm. 2days off mid week
Wage Per Hour: $28.  Overtime Possible Per Hour $42.
Pre-hire Criminal Background Check and reference check required.",35,8:00 A.M. - 4:00 P.M.
547,Ski Team - Race Team Coach,Palisades Tahoe,"Olympic Valley, CA",$25.41-$33.00,hour,11/7/2022,4/21/2023,View Job Order,+15308077692,kcooksey@palisadestahoe.com,,Yes,7,"Conduct athlete training sessions.
Provide training direction, feedback and advice to prepare athletes for long-term athletic development and upcoming competitions.
Adjust coaching techniques, based on the strengths and weaknesses of athletes.
Instruct individuals or groups in rules, tactics, preparedness, and performance principles, such as specific ways of engaging equipment with the snow surface to achieve desired results.
Know and adhere to schedule, Time & Attendance expectations.
Meet, greet and interact with guests, athletes and parents daily.
Lead and supervise a group of athletes, independently execute curriculum at direction of Manager.
Set up/prepare quality Training Environments: Transport and install necessary equipment for training, safety & security including closures, signage, training poles/panels, drills and other.
Implement Team training at the direction of Manager/Head Coach: accountable for the quality of curriculum implemented, products and services delivered.
Adaptability to training environments and interpersonal dynamics.
Help maintain quality and appearance of all Ski Team facilities and physical plant including Team Center, on-mountain training facilities, signage and program imaging and other.
Stay current and adhere to company guidelines, policies and procedures including but not limited to: Employee Ski & Ride Policy, safety, behavior, appearance, travel, time & attendance and other.
Communicate effectively with Team Members including guest and employees.
Ensure and execute teamwork within the team, departments and company.
Attend and positively contribute to required trainings and meetings .",Yes,3,"Level 100 U.S. Ski & Snowboard or equivalent
3 years Alpine racing experience.
3 months ski-coaching or instruction experience.
Experience with basic digital/electronic coaching tools.
35 hours per week.  Days and Shifts: Wednesday -Sunday, 8 hours per day with various start times between 6am - 10pm, including holidays.
Wage per hour: 25.41 - $33.00.  No Overtime Available.
Post-hire criminal background check required. Coaches must hold or join (post-hire) a US Ski and Snowboard Coach Membership (paid for by the employer). Coaches must complete online SafeSport Ed and certification(Park of the US Ski and Snowboard membership) at https://uscenterforsafesport.org/ post hire.",35,6:00 A.M. - 10:00 P.M.
548,Forest & Conservation Worker,Pine West Reforestation,"Medford, OR",$15.00-$23.00,hour,11/7/2022,8/6/2023,View Job Order,+15419412210,pinewest62@gmail.com,https://empportal.emp.state.or.us,Yes,18,"Duties may include: Under supervision, perform manual labor necessary to maintain and protect timber tracts and forests; plant seedlings to reforest timberlands,trapping,tree marking,dig holes for seedlings,pack soil around seedlings with planting tool and ensure protective maintenance of seedlings by spraying/clearing/thinning surrounding vegetation. Perform other tasks including pre-commercial brush cutting saw work. UNDER THE DIRECTION OF FIRE SUPPRESSION OFFICERS OR FORESTRY TECHNICIANS: firefighting and fire reduction & other related Forest & Conservation Worker activities as per SOC/OES 45-4011 (onetonline.org).

Possible weekend/holiday work.

At Employer’s sole discretion: possible raises and/or bonuses based on individual factors such as work performance or skill (not guaranteed).",Yes,3,"Must be 18 due to travel. Must show proof of legal authorization to work in the United States. Drug/alcohol/tobacco free work zone. Must walk substantially (up to 15 miles/day), also stoop, bend while carrying a pack (up to 50lbs) thru rough terrain (non-trail). All applicants must be able, willing, qualified to perform work described and must be available for the entire period specified and work throughout all areas of intended employment.  Outdoors, exposed to weather; must be capable of doing physically strenuous labor for long hours, occasionally in extreme heat or cold. Variable weather conditions apply; hours may fluctuate (+/-), possible downtime and/or OT.
",35,7:00 A.M. - 3:30 P.M.
549,Food Preparation Worker,Honey B Ham and Deli,"Lake Charles, LA",$10.06,hour,11/7/2022,6/30/2023,View Job Order,+13374783354,honeybhamrestaurant@gmail.com,,Yes,5,"Washing, sorting and boiling crawfish; general upkeep of kitchen area. May request and record customer orders, may prepare simple food items and beverages; clean, organize eating, service and kitchen areas",Yes,3,"SHIFTS INCLUDE 10:00 AM TO 3:30 PM 7 DAYS/WEEK. EVENING SHIFT MAY ALSO BE AVAILABLE FROM 3:00 PM TO 8:30 PM, 7 DAYS/WEEK; SCHEDULE INCLUDES ONE 30 MINUTE UNPAID LUNCH BREAK",35,10:00 A.M. - 3:30 P.M.
550,Waiter/waitress,Copperleaf Golf Club,"Bonita Springs, FL",$14.03-$15.00,hour,10/11/2022,4/30/2023,View Job Order,,MariaM@copperleafgc.com,www.copperleafgc.com,Yes,7,"• Greets and takes food and drink orders members and guests, serving the orders and accommodating special needs/requests.
• Completes all stocking and cleaning duties by performing opening and closing side work as instructed.
• Memorizes menu items, recipes and daily specials in order to answer questions and make recommendation to members and guests.
• Maintains cleanliness standards in the club in order to have a clean, presentable and attractive facility as well as to satisfy state and local health board requirements.
• Receives proper payment from guest and ensures accuracy of guest check and method of payment as well as member signatures in order to safeguard customer and the club.
• Attends all pre-meal meetings in person in order to enhance communications and gain knowledge of products.
• Performs other duties as assigned, requested or deemed necessary by Food and Beverage management.",Yes,12,"12 months of experience as a waiter/waitress in a restaurant is required.  all applicants are required to pass pre-employment drug test and background check, 35 hours offered per week. Days vary, Monday Sunday along with rotating shifts from 9:00am 9:00pm and Hours Vary.

Optional housing is offered on a first come, first serve basis for workers who are relocating to begin employment. Cost of housing, including utilities and Wi-Fi, if accepted, is $550 per month. If used the total cost of housing will be deducted from the paycheck. A $150 refundable security is required and paid directly to Housing Company within the first 30 days within housing.",35,9:00 A.M. - 9:00 P.M.
551,"Agricultural Grader, Sorter, Packer (fruit)",Sortpack Inc.,"Pompano Beach, FL",$11.00,hour,10/15/2022,5/30/2023,View Job Order,+19545868824,rcollin@solgroup-marketing.com,,Yes,66,"Agricultural Grader, Sorter, and Packer to perform grading, sorting, and packaging of fruit in a warehouse setting. The Agricultural Grader, Sorter, and Packer is responsible for the selection and packaging of imported winter melons such as cantaloupes, honeydews, mini watermelons, watermelons, and yellowdews. The Agricultural Grader, Sorter, and Packer must examine and inspect fruit to ensure that the packing specifications are met. The melons are selected and packed in packinghouses in countries with warmer weather during the winter months, such as Guatemala and Honduras. However, due to ocean transit time and the melons' natural aging process, the product must be re-inspected once it arrives to the warehouse to meet quality and food safety standards. Agricultural Graders, Sorters, and Packers are trained to identify quality and food safety issues. Additionally, they can differentiate between various grades of condition and quality. In addition to inspecting the melons, the Agricultural Graders, Sorters, and Packers are also responsible for repacking product that does not meet specific quality standards. Agricultural Graders, Sorters, and Packers are trained to operate a selector machine that aids in selecting the melons. Once the product is carefully sorted, the Agricultural Graders, Sorters, and Packers repack the product according to size, commodity, and customer specifications. Responsibilities & Duties: Place products in containers according to grade and mark grades on containers. Weigh products or estimate their weight, visually or by feel. Discard inferior or defective products or foreign matter, and place acceptable products in containers for further processing. Grade and sort products according to factors such as color, species, length, width, appearance, feel, smell, and quality to ensure correct processing and usage. Record grade or identification numbers on tags or on shipping, receiving, or sales sheets. Perform production duties such as manual lifting, packaging, labeling and sorting using hands. Report defective product or questionable conditions to the department supervisor. Maintain the work area and equipment in a clean and orderly condition and follow prescribed food safety regulations. Perform related duties as required by supervision.",Yes,3,"Sorting and Packing Requirements: Minimum three-month experience handling and inspecting winter melons, such as cantaloupes, honeydews, and watermelons; sorting, packing, and repacking winter melons grown and harvested in Central America. Knowledge and experience classifying winter melons according to grade and customer specifications. Experience with Right Fruit to Right Customer (RFS) process implemented by the melon warehouses and packing houses or other similar processes. Understand and follow basic verbal and written instructions. Ability to work in a group setting. Ability to use a scale. Effectively communicate information and respond to questions. Possess basic mathematical skills. Perform basic visual quality inspections on products. Maintain the production pace of other team members. Proper grooming standards. Proper clothing including shoes with a good grip. Physical Demands: Required to stand for long periods of time. May involve some repetitive motions. Must be able to lift 40 pounds - More than 40 pounds require team lift. May also engage in frequent bending, stooping, squatting, pushing and pulling of parts and part containers.  Food Safety Requirements: General knowledge of safe food handling practices. Knowledge and understanding of industry standards for packing and sorting of winter melons.  Ability to work overtime, weekend and holiday hours. Employer may conduct random, post-hire drug tests, at no cost to the employee.  Paid sick leave (when eligible). Training will be provided for 21 days from each workers initial date of employment.",35,8:00 A.M. - 2:00 P.M.
552,Prep Cook,Quail Valley Golf Club,"Vero Beach, FL",$13.95,hour,10/15/2022,5/15/2023,View Job Order,+17722990093,ldanaher@quailvalleygolfclub.com,,Yes,11,"Preparing all food items prior to cooking, cutting or breaking bulk items into individual portion sizes, cutting vegetables, fruit and meats, and gathering and mixing ingredients. Prep cooks will also be required to do some cooking and preparation of menu items in support of the head chef.",Yes,3,"Must be able to lift 25 lbs.

The days and hours of work will vary depending on scheduling and the level of business but will generally be 5 days per week with rotating days off.  35 hours per week with some overtime.  Multiple shifts are available, work shifts vary between 7am & 10pm 7 days a week; must be able to work Monday through Sunday, day off rotates.  
",35,7:00 A.M. - 4:00 P.M.
553,Landscaping Laborer,"J&J Installation, LLC","Lancaster, SC",$15.09,hour,10/15/2022,7/30/2023,View Job Order,+18033202074,jjinstallation2015@gmail.com,scworks.org,Yes,30,"Landscaping laborer.  Install mulch and straw by hand in and around plant beds and natural areas at residential and commercial properties.   Workers typically perform a variety of tasks by hand, such as sod laying, trimming, edging, planting, watering, digging, raking, and drainage repair.  May operate power tools and landscape equipment such as trimmers and leaf blowers, however most work is performed using manual hand tools such as shovels, rakes, and shears.  May load, haul and unload straw, mulch and plant materials to work site.  Prolonged walking, standing, bending, stooping, and reaching.  All work is performed outdoors during all types of weather conditions.  The use or possession or being under the influence of illegal drugs or alcohol during working time is prohibited. Workers may be requested to submit to random drug or alcohol tests at no cost to the worker. Failure to comply with the request or testing positive may result in immediate termination.  All testing will occur post-hire and is not a part of the interview process.  Negative result required before beginning work.  Must not hinder another workers productivity.  Use of personal cell phone or other personal electronic device during working hours strictly prohibited except for work-related calls or emergencies and violation may result in immediate termination.  Must be able to lift and carry 50 lbs.  Must be able to lift 50 lbs. to shoulder height repetitively throughout the working day.  Requires three months verifiable prior work experience as a landscaping laborer.",Yes,3,"Prolonged walking, standing, bending, stooping, and reaching.  All work is performed outdoors during all types of weather conditions.  The use or possession or being under the influence of illegal drugs or alcohol during working time is prohibited. Workers may be requested to submit to random drug or alcohol tests at no cost to the worker. Failure to comply with the request or testing positive may result in immediate termination.  All testing will occur post-hire and is not a part of the interview process.  Negative result required before beginning work.  Must not hinder another workers productivity.  Use of personal cell phone or other personal electronic device during working hours strictly prohibited except for work-related calls or emergencies and violation may result in immediate termination.  Must be able to lift and carry 50 lbs.  Must be able to lift 50 lbs. to shoulder height repetitively throughout the working day.  Requires three months verifiable prior work experience as a landscaping laborer.
",35,7:00 A.M. - 3:00 P.M.
554,Pool Construction Laborer,"The Pool and Spa Depot, LLC","LA VERGNE, TN",$18.35-$20.00,hour,10/15/2022,10/30/2022,View Job Order,+16155141911,,https://www.jobs4tn.gov,Yes,30,"Do work related to swimming pool install tasks to include: clean work site, collect & dispose of rubble trash & debris.  Dig holes using machines, hand tools with a max width of 20 ft x 40 ft and a max depth of 8 ft; hand bore under driveways & sidewalks, assist w/mixing, pouring & placing concrete, help construction laborers by performing duties of lesser skill. Load/unload necessary equipment and supplies for job.  Light facility/equipment maintenance during inclement weather. Involves bending, stooping, lifting and stretching on a frequent basis.  May operate motorized vehicles. Must be able to lift 100 lbs often, work in extreme weather. Housing is offered at comparable local market fees (subject ot adjust w/ local inflation). Rent paid to owner after paycheck. 401K and/or advance pay if requested, advance pay reimbursed via optional deductions. Elective deductions will only be made with the approval of the worker, and will not drop the workers overall wage rate below the USDOL required wage. Possibility of performance based raise, bonus, overtime and Saturdays. 1 hr non paid lunch. Transportation provided to worksites from central location in La Vergne, TN. Must pass employer paid post hire drug test. Must pass employer paid post hire background check.",No,,"Employer paid post hire drug test required. 
Employer paid post hire background check. 
",40,7:00 A.M. - 5:00 P.M.
555,Poultry Worker,"Vital Foods, LLC","Gainesville, GA",$13.91,hour,10/15/2022,7/15/2023,View Job Order,+17707804622,,www.employgeorgia.com,Yes,145,"Routine cutting and trimming of poultry using hand tools. May load, unload, weight, pack
chicken in a poultry facility.

40 hours week, a single workweek is the standard for computing wages due, 5 days Monday-Sunday, two days off varies, 8AM to 5PM. 
It show 56, on section Anticipated days and hours of work per week F.a.5 A-H.",No,,,56,8:00 A.M. - 5:00 P.M.
556,Finfishing Deckhand On Commercial Long-liner,"J&B Fisheries, Inc.","Dulac, LA",$18.09,hour,10/20/2022,7/20/2023,View Job Order,+19167438062,israelinarte@gmail.com,,Yes,5,"Seasonal-temporary, full-time finfishing deckhands on commercial long-liner needed from 10/20/2022 to 07/20/2023. The deckhand will load supplies, fishing gear and bait; will bait and tackle; build and repair tackle; set and haul long line gear; gut and clean fish; ice fish in boat's hold; perform wheel-watch duties; cut bait and bait hooks; clean and mop deck; offload catch at the dock; assist captain as required. Work will be performed at sea up to 10 days on board commercial fish vessels throughout Exclusive Economic Zone in Gulf of Mexico, depending on amount of catch and/or expansion of fishing grounds. 

The worker will be paid by check every two weeks or according to the prevailing practice in the area of intended employment (Exclusive Economic Zone in Gulf of Mexico) whichever is more frequent. No education required. No on-the-job training. Applicant must have no less than one continuous-month of experience as deckhand on commercial, ocean going long-liner. Usual work period is from 06:00 pm (night) to 6:00 am (morning). Working conditions may include excessive heat and/or cold, rainy days and cold weather on deck, confined spaces, sleep deprivation, and fatigue. Worker is required to carry and repetitively lift an average of 75 pounds of catch to/from boats hold.",Yes,1,"Be skillful with long-liner and bandits. Excluding the time required to travel between fishing grounds, we procure to guarantee up to 40 hours per week with overtime depending on availability or abundance of catch. Our breakdown of the hours is our best attempt to distribute Such hours. Hours per day can change accordingly. While traveling to or in between fishing grounds there could be no work hours for days at a time. Once there, hours per day could include eight (8) or more daily. One cannot predict this but rely on electronic devices;  knowledge, and experience to increase the odds in our favor. Fish schools could be found during the morning, evening, and even midnight depending on migration patterns, weather, tides, and season of the year. Reference checks.

",40,6:00 P.M. - 6:00 A.M.
557,Ski Instructor Level 3 Trainer,"Mammoth Mountain Ski Area, LLC","Mammoth Lakes, CA",$20.91,hour,10/22/2022,4/16/2023,View Job Order,+17609342571,srowan@mammothresorts.com,http:www.mammothmountain.com,Yes,10,"Train other ski instructors and teach techniques using the Professional Ski Instructor Methodology, covering safety, and adult and children specific instruction for all levels of instructors and students.  Assist in all operational aspects of the ski school including but not limited to set up of outdoor teaching areas, class organization, teaching, and general cleanliness of area.  Must understand and abide by company procedures set forth by our Human Resource Department.",Yes,4,"Must have a valid Professional Ski Instructors of America (PSIA) Level 3 Certification or international equivalence.
",35,8:30 A.M. - 4:00 P.M.
